tick,adc
173708,3777
173709,3783
173710,3779
173711,3780
173712,3784
173713,3779
173714,3782
173715,3779
173716,3775
173717,3781
173718,3779
173719,3784
173720,3781
173721,3774
173722,3783
173723,3779
173724,3780
173725,3779
173726,3781
173727,3779
173728,3788
173729,3771
173730,3779
173731,3782
173732,3781
173733,3775
173734,3784
173735,3779
173736,3782
173737,3779
173738,3781
173739,3777
173740,3784
173741,3779
173742,3780
173743,3778
173744,3784
173745,3779
173746,3781
173747,3785
173748,3780
173749,3781
173750,3779
173751,3783
173752,3782
173753,3783
173754,3807
173755,3781
173756,3781
173757,3775
173758,3782
173759,3779
173760,3785
173761,3781
173762,3782
173763,3779
173764,3781
173765,3777
173766,3751
173767,3779
173768,3782
173769,3781
173770,3778
173771,3775
173772,3780
173773,3783
173774,3778
173775,3777
173776,3778
173777,3785
173778,3781
173779,3779
173780,3777
173781,3779
173782,3783
173783,3779
173784,3782
173785,3781
173786,3785
173787,3779
173788,3781
173789,3785
173790,3781
173791,3776
173792,3780
173793,3779
173794,3779
173795,3779
173796,3783
173797,3779
173798,3779
173799,3777
173800,3781
173801,3778
173802,3783
173803,3781
173804,3779
173805,3779
173806,3779
173807,3775
173808,3783
173809,3779
173810,3777
173811,3779
173812,3778
173813,3779
173814,3781
173815,3779
173816,3783
173817,3782
173818,3778
173819,3779
173820,3782
173821,3781
173822,3781
173823,3779
173824,3779
173825,3781
173826,3779
173827,3775
173828,3781
173829,3779
173830,3779
173831,3774
173832,3781
173833,3779
173834,3775
173835,3778
173836,3780
173837,3781
173838,3775
173839,3779
173840,3780
173841,3770
173842,3784
173843,3779
173844,3777
173845,3779
173846,3781
173847,3781
173848,3775
173849,3783
173850,3779
173851,3766
173852,3775
173853,3779
173854,3781
173855,3783
173856,3779
173857,3783
173858,3775
173859,3779
173860,3779
173861,3781
173862,3779
173863,3777
173864,3779
173865,3779
173866,3779
173867,3779
173868,3775
173869,3785
173870,3777
173871,3779
173872,3779
173873,3784
173874,3778
173875,3777
173876,3778
173877,3772
173878,3784
173879,3779
173880,3778
173881,3784
173882,3783
173883,3778
173884,3780
173885,3781
173886,3811
173887,3777
173888,3775
173889,3781
173890,3779
173891,3779
173892,3775
173893,3786
173894,3781
173895,3770
173896,3780
173897,3785
173898,3783
173899,3779
173900,3781
173901,3783
173902,3779
173903,3781
173904,3778
173905,3782
173906,3784
173907,3779
173908,3775
173909,3779
173910,3781
173911,3779
173912,3780
173913,3779
173914,3782
173915,3778
173916,3783
173917,3781
173918,3779
173919,3778
173920,3779
173921,3780
173922,3783
173923,3777
173924,3775
173925,3779
173926,3784
173927,3779
173928,3780
173929,3776
173930,3784
173931,3783
173932,3778
173933,3785
173934,3779
173935,3783
173936,3775
173937,3783
173938,3783
173939,3783
173940,3775
173941,3780
173942,3782
173943,3779
173944,3779
173945,3778
173946,3782
173947,3781
173948,3780
173949,3781
173950,3783
173951,3783
173952,3779
173953,3778
173954,3779
173955,3777
173956,3775
173957,3782
173958,3778
173959,3783
173960,3779
173961,3777
173962,3779
173963,3777
173964,3775
173965,3797
173966,3777
173967,3779
173968,3782
173969,3779
173970,3782
173971,3775
173972,3778
173973,3779
173974,3781
173975,3779
173976,3781
173977,3782
173978,3779
173979,3783
173980,3778
173981,3781
173982,3779
173983,3779
173984,3779
173985,3777
173986,3783
173987,3783
173988,3774
173989,3769
173990,3767
173991,3763
173992,3758
173993,3749
173994,3739
173995,3733
173996,3721
173997,3719
173998,3717
173999,3709
174000,3702
174001,3697
174002,3688
174003,3687
174004,3670
174005,3666
174006,3660
174007,3655
174008,3647
174009,3641
174010,3629
174011,3627
174012,3616
174013,3613
174014,3603
174015,3593
174016,3586
174017,3582
174018,3576
174019,3571
174020,3551
174021,3557
174022,3547
174023,3543
174024,3535
174025,3526
174026,3517
174027,3513
174028,3501
174029,3489
174030,3488
174032,3479
174033,3470
174034,3473
174035,3460
174036,3450
174037,3443
174038,3434
174039,3429
174040,3413
174041,3418
174042,3398
174043,3408
174044,3379
174045,3375
174046,3369
174047,3368
174048,3355
174049,3343
174050,3336
174051,3327
174052,3327
174053,3317
174054,3307
174055,3300
174056,3295
174057,3287
174058,3275
174059,3278
174060,3257
174061,3243
174062,3243
174063,3236
174064,3227
174065,3219
174066,3214
174067,3209
174068,3195
174069,3191
174070,3187
174071,3184
174072,3171
174073,3165
174074,3153
174075,3152
174076,3143
174077,3133
174078,3101
174079,3122
174080,3118
174081,3111
174082,3099
174083,3092
174084,3089
174085,3079
174086,3073
174087,3069
174088,3056
174089,3048
174090,3032
174091,3038
174092,3025
174093,3037
174094,3011
174095,3004
174096,3005
174097,2993
174098,2976
174099,2974
174100,2969
174101,2957
174102,2949
174103,2943
174104,2931
174105,2926
174106,2919
174107,2909
174108,2901
174109,2893
174110,2887
174111,2878
174112,2867
174113,2864
174114,2856
174115,2829
174116,2839
174117,2839
174118,2827
174119,2823
174120,2819
174121,2806
174122,2800
174123,2790
174124,2807
174125,2778
174126,2755
174127,2761
174128,2751
174129,2751
174130,2735
174131,2731
174132,2729
174133,2720
174134,2707
174135,2699
174136,2695
174137,2688
174138,2683
174139,2685
174140,2669
174141,2664
174142,2653
174143,2651
174144,2635
174145,2633
174146,2626
174147,2616
174148,2609
174149,2602
174150,2586
174151,2614
174152,2579
174153,2579
174154,2569
174155,2562
174156,2561
174157,2552
174158,2542
174159,2544
174160,2505
174161,2523
174162,2512
174163,2500
174164,2493
174165,2478
174166,2483
174167,2474
174168,2475
174169,2431
174170,2445
174171,2442
174172,2420
174173,2422
174174,2421
174175,2422
174176,2410
174177,2396
174178,2391
174179,2379
174180,2380
174181,2367
174182,2350
174183,2342
174184,2342
174185,2327
174186,2322
174187,2335
174188,2317
174189,2349
174190,2279
174191,2286
174192,2281
174193,2276
174194,2266
174195,2256
174196,2282
174197,2244
174198,2235
174199,2230
174200,2218
174201,2215
174202,2207
174203,2195
174204,2185
174205,2210
174206,2130
174207,2162
174208,2162
174209,2160
174210,2155
174211,2132
174212,2123
174213,2161
174214,2112
174215,2080
174216,2099
174217,2089
174218,2083
174219,2078
174220,2071
174221,2001
174222,2083
174223,2042
174224,2039
174225,2029
174226,2027
174227,2012
174228,2012
174229,2005
174230,1996
174231,1983
174232,1974
174233,1974
174234,1963
174235,1949
174236,1950
174237,1941
174238,1939
174239,1927
174240,1925
174241,1915
174242,1905
174243,1900
174244,1893
174245,1886
174246,1874
174247,1863
174248,1829
174249,1858
174250,1845
174251,1842
174252,1828
174253,1823
174254,1817
174255,1799
174256,1801
174257,1807
174258,1790
174259,1780
174260,1769
174261,1763
174262,1740
174263,1739
174264,1739
174265,1731
174266,1721
174267,1714
174268,1707
174269,1706
174270,1693
174271,1684
174272,1679
174273,1674
174274,1662
174275,1650
174276,1643
174277,1637
174278,1633
174279,1626
174280,1619
174281,1612
174282,1594
174283,1605
174284,1599
174285,1581
174286,1577
174287,1562
174288,1555
174289,1547
174290,1549
174291,1539
174292,1531
174293,1526
174294,1515
174295,1510
