tick,adc
138492,203
138493,206
138494,205
138495,203
138496,204
138497,205
138498,203
138499,204
138500,197
138501,198
138502,205
138503,202
138504,200
138505,205
138506,200
138507,200
138508,208
138509,210
138510,197
138511,201
138512,196
138513,200
138514,204
138515,203
138516,192
138517,203
138518,208
138519,200
138520,206
138521,203
138522,204
138523,206
138524,200
138525,201
138526,205
138527,205
138528,199
138529,203
138530,204
138531,204
138532,207
138533,197
138534,202
138535,198
138536,200
138537,202
138538,201
138539,203
138540,202
138541,200
138542,206
138543,201
138544,208
138545,204
138546,202
138547,205
138548,204
138549,202
138550,200
138551,193
138552,202
138553,202
138554,187
138555,202
138556,200
138557,202
138558,202
138559,204
138560,201
138561,201
138562,203
138563,206
138564,211
138565,203
138566,200
138567,204
138568,203
138569,203
138570,203
138571,205
138572,202
138573,204
138574,208
138575,204
138576,204
138577,204
138578,202
138579,204
138580,199
138581,196
138582,201
138583,198
138584,202
138585,204
138586,202
138587,205
138588,202
138589,204
138590,200
138591,196
138592,199
138593,203
138594,198
138595,204
138596,199
138597,202
138598,202
138599,201
138600,198
138601,202
138602,206
138603,205
138604,209
138605,205
138606,202
138607,199
138608,199
138609,200
138610,201
138611,204
138612,205
138613,202
138614,202
138615,199
138616,198
138617,202
138618,203
138619,202
138620,193
138621,201
138622,206
138623,204
138624,203
138625,217
138626,204
138627,204
138628,202
138629,203
138630,204
138631,197
138632,202
138633,205
138634,206
138635,200
138636,202
138637,202
138638,208
138639,204
138640,205
138641,201
138642,204
138643,206
138644,199
138645,202
138646,202
138647,201
138648,203
138649,202
138650,197
138651,200
138652,198
138653,202
138654,200
138655,197
138656,204
138657,200
138658,201
138659,202
138660,204
138661,202
138662,204
138663,205
138664,202
138665,202
138666,198
138667,204
138668,203
138669,199
138670,199
138671,202
138672,204
138673,202
138674,200
138675,201
138676,204
138677,201
138678,203
138679,204
138680,205
138681,198
138682,187
138683,204
138684,210
138685,202
138686,201
138687,202
138688,200
138689,201
138690,204
138691,207
138692,202
138693,208
138694,208
138695,209
138696,203
138697,200
138698,198
138699,202
138700,205
138701,203
138702,195
138703,196
138704,201
138705,200
138706,207
138707,200
138708,200
138709,199
138710,206
138711,203
138712,204
138713,204
138714,199
138715,198
138716,200
138717,205
138718,201
138719,205
138720,203
138721,190
138722,202
138723,198
138724,271
138725,199
138726,201
138727,200
138728,215
138729,206
138730,201
138731,201
138732,205
138733,202
138734,201
138735,203
138736,202
138737,202
138738,196
138739,202
138740,200
138741,195
138742,201
138743,207
138744,198
138745,201
138746,199
138747,205
138748,204
138749,194
138750,203
138751,203
138752,203
138753,205
138754,225
138755,205
138756,204
138757,204
138758,202
138759,204
138760,196
138761,200
138762,204
138763,203
138764,204
138765,200
138766,203
138767,196
138768,200
138769,198
138770,200
138771,201
138772,205
138773,204
138774,199
138775,202
138776,202
138777,201
138778,201
138779,204
138780,201
138781,200
138782,184
138783,198
138784,202
138785,192
138786,201
138787,200
138788,203
138789,205
138790,197
138791,202
138792,190
138793,201
138794,205
138795,201
138796,198
138797,201
138798,199
138799,207
138800,201
138801,201
138802,206
138803,200
138804,201
138805,207
138806,201
138807,202
138808,200
138809,204
138810,209
138811,205
138812,203
138813,206
138814,202
138815,202
138816,201
138817,198
138818,206
138819,205
138820,201
138821,205
138822,203
138823,201
138824,202
138825,204
138826,197
138827,205
138828,209
138829,204
138830,202
138831,200
138832,204
138833,201
138834,201
138835,203
138836,206
138837,204
138838,207
138839,204
138840,199
138841,202
138842,205
138843,201
138844,206
138845,206
138846,201
138847,198
138848,203
138849,207
138850,202
138851,199
138852,201
138853,200
138854,202
138855,204
138856,204
138857,207
138858,201
138859,203
138860,204
138861,200
138862,200
138863,207
138864,201
138865,200
138866,200
138867,201
138868,205
138869,204
138870,204
138871,205
138872,203
138873,202
138874,199
138875,202
138876,202
138877,198
138878,205
138879,205
138880,199
138881,205
138882,200
138883,205
138884,200
138885,203
138886,201
138887,205
138888,204
138889,199
138890,203
138891,209
138892,205
138893,210
138894,208
138895,213
138896,215
138897,216
138898,221
138899,231
138900,231
138901,230
138902,237
138903,240
138904,247
138905,251
138906,253
138907,261
138908,265
138909,279
138910,282
138911,281
138912,289
138913,297
138914,297
138915,309
138916,299
138917,316
138918,318
138919,331
138920,335
138921,342
138922,348
138923,351
138924,353
138925,370
138926,376
138927,376
138928,394
138929,396
138930,401
138931,408
138932,423
138933,426
138934,430
138935,451
138936,448
138937,455
138938,459
138939,468
138940,471
138941,479
138942,482
138943,494
138944,500
138945,508
138946,508
138947,516
138948,512
138949,529
138950,525
138951,541
138952,549
138953,557
138954,569
138955,570
138956,584
138957,587
138958,593
138959,597
138960,603
138961,610
138962,622
138963,627
138964,639
138965,649
138966,648
138967,660
138968,658
138969,671
138970,684
138971,690
138972,694
138973,702
138974,712
138975,720
138976,731
138977,741
138978,740
138979,757
138980,762
138981,762
138982,773
138983,777
138984,787
138985,794
138986,803
138987,814
138988,836
138989,834
138990,835
138991,842
138992,858
138993,865
138994,871
138995,870
138996,882
138997,886
138998,898
138999,910
139000,909
139001,921
139002,927
139003,930
139004,943
139005,953
139006,956
139007,981
139008,977
139009,981
139010,988
139011,989
139012,996
139013,1006
139014,1024
139015,1039
139016,1031
139017,1041
139018,1051
139019,1057
139020,1080
139021,1071
139022,1079
139023,1093
139024,1098
139025,1103
139026,1133
139027,1120
139028,1129
139029,1136
139030,1145
139031,1151
139032,1164
139033,1170
139034,1182
139035,1197
139036,1189
139037,1201
139038,1206
139039,1220
139040,1214
139041,1235
139042,1249
139043,1257
139044,1264
139045,1280
139046,1283
139047,1289
139048,1299
139049,1299
139050,1309
139051,1316
139052,1317
139053,1331
139054,1339
139055,1341
139056,1358
139057,1363
139058,1373
139059,1379
139060,1390
139061,1392
139062,1406
139063,1413
139064,1418
139065,1428
139066,1437
139067,1446
139068,1447
139069,1473
139070,1466
139071,1475
139072,1489
139073,1489
139074,1492
139075,1507
139076,1512
139077,1520
139078,1529
139079,1530
139080,1544
139081,1560
139082,1555
139083,1566
139084,1570
139085,1574
139086,1582
139087,1595
139088,1614
139089,1598
139090,1618
139091,1627
139092,1628
139093,1638
139094,1643
139095,1654
139096,1661
139097,1667
139098,1678
139099,1694
139100,1690
139101,1692
139102,1706
139103,1714
139104,1723
139105,1733
139106,1704
139107,1746
139108,1739
139109,1759
139110,1766
139111,1779
139112,1782
139113,1794
139114,1790
139115,1809
139116,1810
139117,1819
139118,1830
139119,1839
139120,1849
139121,1856
139122,1864
139123,1885
139124,1874
139125,1877
139126,1912
139127,1900
139128,1909
139129,1915
139130,1922
139131,1932
139132,1940
139133,1947
139134,1958
139135,1964
139136,1968
139137,1977
139138,1982
139139,1994
139140,2000
139141,2013
139142,1998
139143,2022
139144,2033
139145,2034
139146,2041
139147,2056
139148,2059
139149,2064
139150,2071
139151,2088
139152,2093
139153,2092
139154,2126
139155,2112
139156,2123
139157,2130
139158,2139
139159,2144
139160,2149
139161,2165
139162,2173
139163,2182
139164,2187
139165,2190
139166,2195
139167,2212
139168,2217
139169,2229
139170,2232
139171,2245
139172,2263
139173,2245
139174,2267
139175,2272
139176,2281
139177,2288
139178,2297
139179,2300
139180,2311
139181,2333
139182,2320
139183,2336
139184,2341
139185,2345
139186,2358
139187,2365
139188,2377
139189,2382
139190,2391
139191,2400
139192,2411
139193,2413
139194,2421
139195,2436
139197,2439
139198,2459
139199,2431
139200,2468
139201,2471
139202,2477
139203,2483
139204,2497
139205,2509
139206,2519
139207,2518
139208,2531
139209,2538
139210,2547
139211,2549
139212,2558
139213,2563
139214,2569
139215,2576
139216,2587
139217,2598
139218,2600
139219,2603
139220,2613
139221,2619
139222,2627
139223,2635
139224,2642
139225,2657
139226,2658
139227,2672
139228,2679
139229,2688
139230,2688
139231,2699
139232,2698
139233,2679
139234,2715
139235,2747
139236,2720
139237,2739
139238,2749
139239,2755
139240,2763
139241,2768
139242,2768
139243,2785
139244,2787
139245,2795
139246,2820
139247,2811
139248,2826
139249,2835
139250,2841
139251,2848
139252,2848
139253,2859
139254,2866
139255,2871
139256,2879
139257,2890
139258,2901
139259,2905
139260,2914
139261,2925
139262,2924
139263,2928
139264,2926
139265,2955
139266,2958
139267,2963
139268,2977
139269,2985
139270,2995
139271,3003
139272,3004
139273,3019
139274,3022
139275,3030
139276,3038
139277,3052
139278,3059
139279,3069
139280,3066
139281,3062
139282,3097
139283,3091
139284,3099
139285,3114
139286,3122
139287,3133
139288,3131
139289,3142
139290,3149
139291,3155
139292,3162
139293,3175
139294,3177
139295,3182
139296,3191
139297,3201
139298,3207
139299,3215
139300,3230
139301,3235
139302,3242
139303,3246
139304,3254
139305,3268
139306,3273
139307,3279
139308,3295
139309,3300
139310,3303
139311,3311
139312,3319
139313,3330
139314,3337
139315,3345
139316,3352
139317,3359
139318,3369
139319,3374
139320,3381
139321,3374
139322,3397
139323,3403
139324,3418
139325,3425
139326,3433
139327,3439
139328,3443
139329,3463
139330,3463
139331,3472
139332,3475
139333,3490
139334,3493
139335,3501
139336,3504
139337,3520
139338,3528
139339,3538
139340,3542
139341,3560
139342,3563
139343,3563
139344,3578
139345,3589
139346,3589
139347,3598
139348,3613
139349,3622
139350,3632
139351,3635
139352,3646
139353,3652
139354,3667
139355,3675
139356,3678
139357,3692
139358,3703
139359,3705
139360,3718
139361,3723
139362,3731
139363,3745
139364,3745
139365,3755
139366,3765
139367,3769
139368,3775
139369,3787
139370,3799
139371,3801
139372,3818
139373,3825
139374,3834
139375,3845
139376,3851
139377,3859
139378,3871
139379,3872
139380,3886
139381,3889
139382,3898
139383,3907
139384,3914
139385,3926
139386,3929
139387,3939
139388,3939
139389,3947
139390,3955
139391,3969
139392,3970
139393,3979
139394,3991
139395,3991
139396,3998
139397,4018
139398,4016
139399,4022
139400,4027
139401,4019
139402,4025
139403,4019
139404,4022
139405,4027
139406,4023
139407,4019
139408,4019
139409,4023
139410,4021
139411,4023
139412,4019
139413,4019
139414,4017
139415,4025
139416,4019
139417,4022
139418,4025
139419,4017
139420,4022
139421,4018
139422,4021
139423,4022
139424,4018
139425,4015
139426,4024
139427,4025
139428,4006
139429,4021
139430,4025
139431,4019
139432,4019
139433,4021
139434,4020
139435,4017
139436,4023
139437,4021
139438,4021
139439,4023
139440,4019
139441,4021
139442,4024
139443,4019
139444,4019
139445,4019
139446,4014
139447,4022
139448,4023
139449,4017
139450,4020
139451,4019
139452,4016
139453,4021
139454,4024
139455,4025
139456,4023
139457,4021
139458,4036
139459,4023
139460,4019
139461,4017
139462,4018
139463,4023
139464,4022
139465,4021
139466,4021
139467,4022
139468,4019
139469,4019
139470,4023
139471,4027
139472,4014
139473,4019
139474,4019
139475,4025
139476,4021
139477,4019
139478,4020
139479,4027
139480,4016
139481,4021
139482,4020
139483,4017
139484,4025
139485,4019
139486,4020
139487,4021
139488,4018
139489,4023
139490,4021
139491,4023
139492,4025
139493,4019
139494,4027
139495,4019
139496,4019
139497,4027
139498,4016
139499,4027
139500,4019
139501,4016
139502,4029
139503,4013
139504,4013
139505,4015
139506,4028
139507,4025
139508,4019
139509,4013
139510,4023
139511,4025
139512,4031
139513,4014
139514,4026
139515,4025
139516,4016
139517,4025
139518,4009
139519,4003
139520,4003
139521,3997
139522,3999
139523,3989
139524,3991
139525,3989
139526,3984
139527,3987
139528,3987
139529,3977
139530,3973
139531,3983
139532,3974
139533,3971
139534,3969
139535,3967
139536,3965
139537,3963
139538,3960
139539,3969
139540,3959
139541,3953
139542,3959
139543,3953
139544,3955
139545,3953
139546,3953
139547,3950
139548,3947
139549,3943
139550,3942
139551,3938
139552,3942
139553,3943
139554,3934
139555,3931
139556,3933
139557,3933
139558,3931
139559,3923
139560,3923
139561,3923
139562,3923
139563,3925
139564,3918
139565,3915
139566,3915
139567,3917
139568,3913
139569,3913
139570,3914
139571,3909
139572,3906
139573,3905
139574,3899
139575,3897
139576,3894
139577,3901
139578,3894
139579,3896
139580,3893
139581,3888
139582,3891
139583,3889
139584,3888
139585,3882
139586,3880
139587,3886
139588,3880
139589,3878
139590,3873
139591,3882
139592,3875
139593,3873
139594,3867
139595,3877
139596,3865
139597,3865
139598,3866
139599,3869
139600,3867
139601,3862
139602,3856
139603,3865
139604,3861
139605,3856
139606,3861
139607,3862
139608,3850
139609,3853
139610,3847
139611,3852
139612,3851
139613,3849
139614,3846
139615,3847
139616,3845
139617,3841
139618,3842
139619,3843
139620,3841
139621,3835
139622,3839
139623,3838
139624,3840
139625,3835
139626,3829
139627,3837
139628,3833
139629,3824
139630,3826
139631,3829
139632,3829
139633,3822
139634,3822
139635,3824
139636,3819
139637,3815
139638,3824
139639,3826
139640,3821
139641,3819
139642,3818
139643,3821
139644,3819
139645,3815
139646,3814
139647,3813
139648,3818
139649,3813
139650,3814
139651,3815
139652,3813
139653,3815
139654,3811
139655,3812
139656,3811
139657,3809
139658,3810
139659,3810
139660,3807
139661,3811
139662,3810
139663,3809
139664,3813
139665,3803
139666,3808
139667,3808
139668,3806
139669,3803
139670,3803
139671,3807
139672,3807
139673,3803
139674,3804
139675,3802
139676,3806
139677,3799
139678,3804
139679,3799
139680,3805
139681,3801
139682,3799
139683,3801
139684,3802
139685,3802
139686,3803
139687,3802
139688,3802
139689,3801
139690,3795
139691,3803
139692,3800
139693,3803
139694,3800
139695,3801
139696,3801
139697,3803
139698,3796
139699,3802
139700,3803
139701,3799
139702,3796
139703,3799
139704,3801
139705,3802
139706,3798
139707,3803
139708,3802
139709,3799
139710,3798
139711,3798
139712,3798
139713,3803
139714,3806
139715,3801
139716,3797
139717,3799
139718,3800
139719,3795
139720,3800
139721,3801
139722,3793
139723,3799
139724,3803
139725,3792
139726,3800
139727,3799
139728,3801
139729,3802
139730,3798
139731,3801
139732,3796
139733,3795
139734,3799
139735,3801
139736,3799
139737,3801
139738,3793
139739,3799
139740,3807
139741,3795
139742,3803
139743,3801
139744,3800
139745,3797
139746,3801
139747,3803
139748,3802
139749,3803
139750,3802
139751,3798
139752,3805
139753,3799
139754,3803
139755,3803
139756,3804
139757,3801
139758,3801
139759,3775
139760,3804
139761,3803
139762,3802
139763,3800
139764,3804
139765,3799
139766,3803
139767,3797
139768,3804
139769,3803
139770,3793
139771,3799
139772,3801
139774,3799
139775,3805
139776,3795
139777,3809
139778,3798
139779,3791
139780,3803
139781,3802
139782,3801
139783,3798
139784,3800
139785,3800
139786,3801
139787,3801
139788,3801
139789,3798
139790,3807
139791,3799
139792,3797
139793,3795
139794,3799
139795,3795
139796,3799
139797,3798
139798,3801
139799,3805
139800,3803
139801,3805
139802,3803
139803,3799
139804,3803
139805,3800
139806,3799
139807,3801
139808,3795
139809,3802
139810,3802
139811,3801
139812,3798
139813,3799
139814,3795
139815,3799
139816,3795
139817,3799
139818,3801
139819,3798
139820,3799
139821,3799
139822,3800
139823,3803
139824,3799
139825,3805
139826,3803
139827,3795
139828,3797
139829,3799
139830,3801
139831,3803
139832,3799
139833,3799
139834,3802
139835,3809
139836,3801
139837,3798
139838,3797
139839,3798
139840,3800
139841,3799
139842,3799
139843,3799
139844,3805
139845,3801
139846,3800
139847,3797
139848,3797
139849,3800
139850,3807
139851,3803
139852,3797
139853,3804
139854,3799
139855,3796
139856,3801
139857,3798
139858,3801
139859,3801
139860,3797
139861,3802
139862,3803
139863,3795
139864,3801
139865,3802
139866,3801
139867,3799
139868,3801
139869,3802
139870,3799
139871,3799
139872,3800
139873,3799
139874,3797
139875,3803
139876,3793
139877,3798
139878,3799
139879,3803
139880,3799
139881,3798
139882,3805
139883,3803
139884,3801
139885,3799
139886,3800
139887,3802
139888,3799
139889,3804
139890,3802
139891,3800
139892,3801
139893,3799
139894,3804
139895,3805
139896,3797
139897,3802
139898,3802
139899,3799
139900,3801
139901,3800
139902,3803
139903,3797
139904,3801
139905,3796
139906,3801
139907,3799
139908,3803
139909,3800
139910,3806
139911,3803
139912,3798
139913,3803
139914,3804
139915,3799
139916,3797
139917,3799
139918,3802
139919,3802
139920,3797
139921,3799
139922,3802
139923,3802
139924,3801
139925,3800
139926,3802
139927,3775
139928,3799
139929,3800
139930,3807
139931,3801
139932,3799
139933,3797
139934,3801
139935,3798
139936,3802
139937,3798
139938,3800
139939,3799
139940,3801
139941,3804
139942,3802
139943,3799
139944,3801
139945,3806
139946,3802
139947,3800
139948,3801
139949,3800
139950,3800
139951,3800
139952,3797
139953,3803
139954,3803
139955,3801
139956,3798
139957,3799
139958,3804
139959,3803
139960,3803
139961,3799
139962,3802
139963,3803
139964,3799
139965,3801
139966,3802
139967,3800
139968,3795
139969,3801
139970,3799
139971,3809
139972,3795
139973,3786
139974,3801
139975,3799
139976,3799
139977,3799
139978,3798
139979,3805
139980,3801
139981,3799
139982,3799
139983,3805
139984,3795
139985,3802
139986,3803
139987,3803
139988,3803
139989,3799
139990,3801
139991,3803
139992,3799
139993,3801
139994,3801
139995,3802
139996,3803
139997,3800
139998,3803
139999,3802
140000,3799
140001,3798
140002,3800
140003,3801
140004,3799
140005,3800
140006,3799
140007,3801
140008,3802
140009,3794
140010,3803
140011,3803
140012,3799
140013,3800
140014,3797
140015,3800
140016,3799
140017,3800
140018,3803
140019,3798
140020,3797
140021,3797
140022,3797
140023,3800
140024,3799
140025,3808
140026,3797
140027,3800
140028,3797
140029,3798
140030,3801
140031,3805
140032,3795
140033,3794
140034,3795
140035,3798
140036,3799
140037,3802
140038,3803
140039,3797
140040,3803
